period,method,vol,ARI_sector,NMI_sector,ARI_country,silhouette,modularity
весь период,sheaf,0.18,0.0006061942025790808,0.48505796029189485,0.19304334704040443,0.1341316299746793,0.13492642755651724
весь период,graph,0.18,0.11749482401656315,0.5680875053197444,0.17515851449275363,0.33820203586174086,0.2201546168274557
кризис 2022,sheaf,0.303,0.02623167640251295,0.5074215744567205,0.11410193533783529,0.17968094536810506,0.05360866445159817
кризис 2022,graph,0.303,0.13248684320441065,0.5797860055242143,0.18857353066017715,0.354349918850381,0.2159677063061783
спокойный 2024,sheaf,0.106,0.02623167640251295,0.5058704503139401,0.19304334704040443,0.20726276462315055,0.09207795802324942
спокойный 2024,graph,0.106,0.005459559858164012,0.49176565821534407,0.1841027866347188,0.3761964360997532,0.2511141243563918
