features,ARI_sector,NMI_sector,ARI_country,silhouette,modularity
доходности,0.0006061942025790808,0.48505796029189485,0.19304334704040443,0.1341316299746793,0.13492642755651724
+волатильность,0.006713457430576747,0.4830073245885201,0.22876851747144633,0.2408656520000743,0.04471499466924382
+волат.+объём,0.023615390908347196,0.5036086905271627,0.19751223606408963,0.2120543634334135,0.06619247610129443
граф (baseline),0.11749482401656315,0.5680875053197444,0.17515851449275363,0.33820203586174086,0.2201546168274557
