features,ARI_sector,NMI_sector,ARI_country,silhouette,modularity
доходности,0.1480980067449141,0.5101289726554735,0.14648755670283953,0.22709900364505015,0.21816215859782898
+волатильность,0.0930527180798247,0.4528072485351412,0.19036378354662695,0.24446237241254629,0.22993156915659974
+волат.+объём,0.05519523494374586,0.4319400348085433,0.17996557659208262,0.20871974531563345,0.11321488052966894
граф (baseline),0.2300150360990643,0.5470431385742405,0.20658603337159,0.47095963000897306,0.42354583327178724
