period,method,vol,k_eff,ARI_sector,NMI_sector,ARI_country,silhouette,modularity
весь период,sheaf,0.176,5,0.1480980067449141,0.5101289726554735,0.14648755670283953,0.22709900364505015,0.21816215859782898
весь период,louvain,0.176,5,0.20059649558841805,0.4720372412332448,0.403652296819788,0.08829026297558365,0.5961124273662197
весь период,graph,0.176,5,0.2300150360990643,0.5470431385742405,0.20658603337159,0.47095963000897306,0.42354583327178724
кризис 2022,sheaf,0.234,6,0.03374874590530527,0.40222181350839825,0.12277887772236284,0.24230205264203794,0.15411216677947162
кризис 2022,louvain,0.234,6,0.14281925669453754,0.3952805050292427,0.43615382521840895,0.05635432489138615,0.5297463174616153
кризис 2022,graph,0.234,6,0.16143917040059258,0.5206929255764858,0.2612758964580733,0.4749862218365623,0.31955968288324554
спокойный 2024,sheaf,0.084,5,0.15783466678840863,0.5112461704500961,0.207901030112404,0.21615682987226803,0.22240740439227433
спокойный 2024,louvain,0.084,5,0.15102464246605796,0.4282994688093261,0.4581840342630786,0.03544313004236507,0.5591047111390407
спокойный 2024,graph,0.084,5,0.13487756452680344,0.4857353875978624,0.22733218588640275,0.5360977094961448,0.41439015347900954
