method,ARI_sector,NMI_sector,ARI_country,silhouette,modularity
SPD log-Euclid,0.09911237287526503,0.46298010816565427,0.3494054243307116,0.3145320906968948,0.22852321570675702
пучок (returns),0.1480980067449141,0.5101289726554735,0.14648755670283953,0.22709900364505015,0.21816215859782898
пучок louvain,0.20059649558841805,0.4720372412332448,0.403652296819788,0.08829026297558365,0.5961124273662197
граф baseline,0.2300150360990643,0.5470431385742405,0.20658603337159,0.47095963000897306,0.42354583327178724
