date,vol,beta0,k_eff,dim_ker,soft_ker,heat_dim,frustration,lam2,vix_mean,vix_end
2020-04-14,0.459,1,7,0,0,5.548648177420809,2,0.12877602038639668,33.78539682539682,37.76
2020-05-18,0.4806,1,7,0,0,5.826046544507516,2,0.12806852410413141,41.023650793650795,29.3
2020-06-25,0.4543,1,7,0,0,5.760882171769669,2,0.1362251597528545,42.078888888888876,32.22
2020-07-28,0.2249,1,6,0,1,6.170093235881989,2,0.07357602395675289,31.394920634920634,25.44
2020-08-26,0.1726,1,5,0,1,6.698001117533205,2,0.09791384361592048,26.998571428571427,23.27
2020-09-28,0.1441,1,5,0,0,6.699960010141732,2,0.19885462218774416,26.048253968253967,26.19
2020-10-27,0.137,1,5,0,0,6.793563476738685,2,0.1791487569571388,26.030952380952378,33.35
2020-11-27,0.1808,1,5,0,0,6.829481174805119,2,0.1274786707028365,27.388095238095236,20.84
2021-01-04,0.165,1,5,0,0,6.895545009273209,2,0.11326581432696464,25.77539682539683,26.97
2021-02-04,0.1685,1,5,0,0,6.861083382625849,2,0.11693133628538491,24.823492063492065,21.77
2021-03-10,0.1317,1,5,0,0,6.926317479096433,2,0.19194547082869923,23.62285714285714,22.56
2021-04-13,0.127,1,5,0,0,7.09531198728283,2,0.17275255353440153,22.53825396825397,16.65
2021-05-18,0.1164,1,5,0,0,7.229036822403076,2,0.15327675134485458,20.456349206349206,21.34
2021-06-18,0.0982,1,5,0,0,7.444735464012892,2,0.13879708855561113,18.641428571428577,20.7
2021-07-20,0.1078,1,5,0,0,6.8844579392191605,2,0.18900099720229754,17.85238095238095,19.73
2021-08-18,0.0927,1,5,0,0,7.089917020818029,2,0.1640762739095249,17.468730158730157,21.57
2021-09-20,0.0999,1,5,0,0,6.686825341152171,2,0.1623145589341863,17.69761904761905,25.71
2021-10-19,0.0969,1,5,0,0,7.0682115371151975,2,0.16934380114525588,18.68095238095238,15.7
2021-11-18,0.0986,1,5,0,0,6.593911869872185,2,0.13743157773491893,18.317142857142855,17.59
2021-12-20,0.1358,1,5,0,0,6.842882720579895,2,0.18776538564035108,19.73285714285714,22.87
2022-01-27,0.1608,1,5,0,0,7.130689749598403,2,0.15816034948787538,20.525714285714287,30.49
2022-03-30,0.3036,1,7,0,1,6.400056925375319,2,0.07352267864677489,23.26523809523809,19.33
2022-05-05,0.3017,1,7,0,1,6.34073918520946,2,0.05782385026300785,23.907936507936505,31.2
2022-06-17,0.3076,2,7,0,1,6.401976401238224,4,0.017719190331798695,26.075714285714284,31.13
2022-07-20,0.1955,1,5,0,1,7.282712194937078,2,0.05916873355341424,26.791746031746033,23.88
2022-08-19,0.185,2,5,0,1,7.661685675782032,4,0.08102304164871586,25.712539682539685,20.6
2022-09-22,0.1722,1,5,0,0,7.153406848973448,2,0.13469721305103383,24.558253968253965,27.35
2022-10-21,0.2103,1,5,0,0,6.860858594772539,2,0.10530075897082344,25.98761904761905,29.69
2022-11-22,0.2306,1,6,0,0,6.479260707156479,2,0.1048657013244746,27.17650793650793,21.29
2022-12-22,0.2173,1,5,0,0,6.933655088372225,2,0.10855021942941476,25.96587301587302,21.97
2023-01-26,0.1532,1,5,0,0,7.070642770959107,2,0.1505055317976902,22.448412698412696,18.73
2023-02-28,0.1076,1,5,0,0,7.446786326643508,2,0.12143914912474768,20.721428571428575,20.7
2023-03-30,0.1096,1,5,0,0,7.472430429544565,2,0.13514495429317105,20.79730158730158,19.02
2023-05-04,0.108,1,5,0,0,7.190071948170509,2,0.15381312869581487,19.90444444444444,20.09
2023-06-14,0.1162,1,5,0,0,7.098624218069353,2,0.14338969773544744,18.751587301587303,13.88
2023-07-17,0.0982,1,5,0,0,7.29290942450352,2,0.1480639589664685,16.083492063492066,13.48
2023-08-16,0.0971,1,5,0,0,7.721336968643508,2,0.1386539547764847,15.075238095238097,16.78
2023-09-18,0.0884,1,5,0,0,7.082913886628484,2,0.13295143385709443,14.546666666666667,14.0
2023-10-17,0.0911,1,5,0,0,7.125059575560255,2,0.19514457680583705,15.734285714285718,17.88
2023-11-15,0.0937,1,5,0,0,6.918525494687957,2,0.19789408840183428,16.58015873015873,14.18
2023-12-15,0.0897,1,5,0,0,7.060480108420754,2,0.13777139163076588,15.915079365079366,12.28
2024-01-22,0.0773,1,5,0,0,7.228225983858113,2,0.1403263997183623,14.494285714285716,13.19
2024-02-21,0.0733,1,5,0,0,7.549574753820794,2,0.13094406489551136,13.287777777777778,15.34
2024-03-25,0.0761,1,5,0,0,7.368075132924165,2,0.1476692005843734,13.619047619047619,13.19
2024-05-03,0.0815,1,5,0,1,7.45992763091365,2,0.09114016655944795,14.524126984126983,13.49
2024-06-11,0.0843,1,5,0,0,7.264129390915873,2,0.17106416990026338,14.212539682539683,12.85
2024-08-19,0.1204,1,5,0,2,7.543334963400057,2,0.033254518133056646,15.976666666666668,14.65
2024-09-19,0.1417,1,5,0,1,7.285759444082141,2,0.022577236951397118,16.57952380952381,16.33
2024-10-18,0.1379,1,5,0,2,7.207076754056235,2,0.034166950235140825,18.53063492063492,18.03
2024-11-19,0.1193,1,5,0,0,7.501302982447761,2,0.13796262272733834,18.064920634920632,16.35
2024-12-19,0.1023,1,5,0,0,7.7693835972776695,2,0.13931266136382955,17.298253968253963,24.09
2025-01-30,0.1208,1,5,0,0,7.476188860205604,2,0.10922865919023919,16.633174603174602,15.84
2025-03-03,0.1226,1,5,0,0,7.30255351252406,2,0.1157057941372388,16.48190476190476,22.78
2025-04-04,0.2328,1,6,0,0,6.9750367881859745,2,0.12612156623809523,19.301111111111112,45.31
2025-05-13,0.2642,1,7,0,1,6.362061605316683,2,0.0772854322383952,23.55603174603175,18.22
2025-06-20,0.2573,1,6,0,0,6.754462156230908,2,0.12376656774953931,24.117301587301586,20.62
2025-07-22,0.1608,1,5,0,0,7.5701777381260325,2,0.11587975056032421,21.776984126984136,16.5
2025-08-21,0.0866,1,5,0,0,7.561324851265429,2,0.1543104706355041,17.20095238095238,16.6
2025-09-23,0.0899,1,5,0,0,7.30430985638617,2,0.12177302047551092,16.019206349206353,16.64
2025-10-22,0.1001,1,5,0,0,7.277801284498968,2,0.15037742085110972,16.421587301587298,18.6
2025-11-21,0.1007,1,5,0,0,7.372465019184597,2,0.17627905829970744,17.57571428571429,23.43
2025-12-23,0.0989,1,5,0,0,7.347485945810294,2,0.14726747855560263,17.893492063492058,14.0
2026-02-02,0.085,1,5,0,0,7.3351621991493845,2,0.12958220126984485,17.202222222222222,16.34
2026-03-05,0.0962,1,5,0,1,7.674563374719001,2,0.08879512254933564,17.447301587301585,23.75
2026-04-08,0.1083,1,5,0,0,7.466193482511593,2,0.14432886621202312,20.629047619047615,21.04
2026-05-11,0.1038,1,5,0,1,7.913796284331088,2,0.06473028870623854,21.393650793650796,18.38
2026-06-15,0.1044,1,5,0,1,7.648745094081949,2,0.0957395211056147,20.527936507936516,16.2
2026-07-16,0.1094,1,5,0,2,8.041303135640646,2,0.055535577574351125,17.539682539682545,16.73
